NAMESPACE            NAME                                                                  READY   STATUS      RESTARTS        AGE
services             pod/cray-meds-85d8955fb5-qt58c                                        2/2     Running     0               2d10h
services             pod/cray-node-discovery-cz27p                                         1/1     Running     0               2d10h
services             pod/cray-node-discovery-jfnhp                                         1/1     Running     0               2d11h
services             pod/cray-node-discovery-l5wzh                                         1/1     Running     0               2d10h
services             pod/cray-node-discovery-r5jzj                                         1/1     Running     0               2d11h
services             pod/cray-node-discovery-ttk6q                                         1/1     Running     0               2d8h
services             pod/cray-node-labels-6c7cc4c5f8-cqfdv                                 2/2     Running     0               2d10h
services             pod/cray-oauth2-proxies-customer-access-ingress-7fc49cffcf-dhxph      1/1     Running     0               2d9h
services             pod/cray-oauth2-proxies-customer-high-speed-ingress-79cb9bd5795vqxx   1/1     Running     0               2d10h
services             pod/cray-oauth2-proxies-customer-management-ingress-c6c64ddfb-td79s   1/1     Running     0               2d10h
services             pod/cray-postgres-operator-596b6cfb9c-lcxd2                           2/2     Running     0               2d10h
services             pod/cray-power-control-6f9869d68-7kgz4                                2/2     Running     1 (2d10h ago)   2d10h
services             pod/cray-power-control-6f9869d68-ljmdt                                2/2     Running     0               2d10h
services             pod/cray-power-control-6f9869d68-r6bsb                                2/2     Running     0               2d11h
services             pod/cray-power-control-bitnami-etcd-0                                 2/2     Running     0               2d11h
services             pod/cray-power-control-bitnami-etcd-1                                 2/2     Running     0               2d9h
services             pod/cray-power-control-bitnami-etcd-2                                 2/2     Running     0               2d10h
services             pod/cray-power-control-bitnami-etcd-snapshotter-28846320-ntvck        0/2     Completed   0               27m
services             pod/cray-powerdns-manager-6c49966f54-vxf62                            3/3     Running     6 (2d9h ago)    2d10h
services             pod/cray-scsd-b744ccc54-bq9h2                                         2/2     Running     0               2d10h
services             pod/cray-scsd-b744ccc54-n8xr8                                         2/2     Running     0               2d11h
services             pod/cray-scsd-b744ccc54-sdz25                                         2/2     Running     0               2d10h
services             pod/cray-shared-kafka-entity-operator-779945b686-hvr4h                2/2     Running     1 (2d9h ago)    2d9h
services             pod/cray-shared-kafka-kafka-0                                         1/1     Running     1 (2d9h ago)    2d9h
services             pod/cray-shared-kafka-kafka-1                                         1/1     Running     1 (2d11h ago)   2d11h
services             pod/cray-shared-kafka-kafka-2                                         1/1     Running     1 (2d10h ago)   2d10h
services             pod/cray-shared-kafka-zookeeper-0                                     1/1     Running     0               2d11h
